model,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std
dummy_mean,3.6035720132587983,0.4721275069043598,4.447651529002732,0.47476192358494096,-0.6983836261188807,0.9220412534718174
random_forest,3.6687965071741266,0.692760315115515,4.539813642508941,0.9597346367488738,-0.7204740109028516,0.8620390389491932
ridge,5.761318478477503,2.2292715211176315,7.484328985640035,3.453563240727088,-5.764899354170611,8.570164019219197
