threshold,accuracy,precision,recall,f1,predicted_positive,true_positive,false_positive,true_negative,false_negative
0.1,0.189873417721519,0.189873417721519,1.0,0.3191489361702128,79,15,64,0,0
0.15,0.189873417721519,0.189873417721519,1.0,0.3191489361702128,79,15,64,0,0
0.2,0.189873417721519,0.189873417721519,1.0,0.3191489361702128,79,15,64,0,0
0.25,0.189873417721519,0.189873417721519,1.0,0.3191489361702128,79,15,64,0,0
0.3,0.189873417721519,0.189873417721519,1.0,0.3191489361702128,79,15,64,0,0
0.35,0.189873417721519,0.189873417721519,1.0,0.3191489361702128,79,15,64,0,0
0.4,0.26582278481012656,0.18840579710144928,0.8666666666666667,0.30952380952380953,69,13,56,8,2
0.45,0.620253164556962,0.2413793103448276,0.4666666666666667,0.3181818181818182,29,7,22,42,8
0.5,0.7848101265822784,0.0,0.0,0.0,2,0,2,62,15
