model,min_probability,mean_probability,median_probability,max_probability,roc_auc,pr_auc
Logistic Regression,9.965212036492724e-08,0.07835199385109583,0.0005386427034902405,0.9199133984090553,0.5531250000000001,0.23881683629967382
Random Forest,0.14525115309379227,0.3143168898104297,0.3083602908660663,0.5869467790963288,0.4239583333333334,0.20962890259914307
