feature,importance
conversation_events_per_day,0.1530420070251204
phonelock_max_duration_hours,0.1470602373635587
gps_distance_std_daily_km,0.08481310084464215
conversation_mean_duration_hours,0.042082444248246094
conversation_std_duration_hours,0.036323808636267975
phonelock_intervals,0.034870692015430416
gps_distance_mean_daily_km,0.031512951325238674
phonelock_intervals_per_day,0.03103186445970956
gps_distance_median_daily_km,0.030416147674830803
conversation_median_duration_hours,0.028936391459816857
gps_observations_per_day,0.027241873285429187
phonelock_std_duration_hours,0.022263703306192168
phonelock_median_duration_hours,0.021084593213819218
gps_stationary_pct,0.01978699958766056
conversation_events,0.019109504476747922
gps_median_accuracy_m,0.01840281744149103
phonelock_observed_days,0.01729594304436426
conversation_observed_days,0.014939645369629951
conversation_max_duration_hours,0.01483633641415323
phonelock_min_duration_hours,0.01421519284020693
gps_distance_total_km,0.012236906427271467
phonelock_total_duration_hours,0.01203953971299973
walking_count,0.009460743414977204
gps_moving_pct,0.009265928020807246
audio_voice_pct,0.008615406144046253
phonelock_mean_duration_hours,0.008232359077399495
activity_entropy,0.008202237985885383
stationary_count,0.008003807678581287
gps_observations,0.00799358975346178
audio_silence_count,0.007754887292231672
audio_noise_count,0.007514943972536603
observations_per_day,0.006995395717429582
nonstationary_pct,0.006196725704746941
audio_voice_count,0.005992122142492976
gps_active_days,0.0059725518376326754
audio_non_silence_pct,0.0058170144141160545
conversation_duration_hours_per_day,0.005730955357586275
running_pct,0.00570388647100632
unknown_count,0.0052536684084286455
walking_pct,0.0052219487049786776
gps_observed_days,0.0050388359623908556
activity_observations,0.00466470602867914
observed_days,0.004561100958903127
running_count,0.0042931584692607536
audio_observations,0.0035364570972634614
conversation_total_duration_hours,0.003469620632495181
audio_noise_pct,0.0033521065366188115
unknown_pct,0.003248405609927192
conversation_min_duration_hours,0.0031706541766425003
audio_silence_pct,0.0022001100378220458
stationary_pct,0.0009939722188245712
audio_unknown_count,0.0
audio_unknown_pct,0.0
