dataset,modality,task,model,evaluation,accuracy,precision,recall,f1,roc_auc,pr_auc,mae,rmse,r2,limitation
Dreaddit,Text,Stress-related classification,TF-IDF + Logistic Regression,Final holdout,0.7174825174825175,0.7103274559193955,0.7642276422764228,0.7362924281984334,0.8207387565205133,0.8411696970377691,,,,Three exact cross-split text overlaps were identified and retained as an evaluation limitation.
Dreaddit,Text + engineered,Stress-related classification,TF-IDF + engineered features + Logistic Regression,Validation,0.7766,0.7771,0.8026,0.7896,0.8503,0.8478,,,,Validation metrics are dataset-specific and should not be interpreted as clinical performance.
EATD,Text,Depression-related classification,Character TF-IDF + Logistic Regression,Official validation,0.7848101265822784,0.0,0.0,0.0,0.509375,0.2105332328623467,,,,Accuracy is affected by class imbalance; positive-class recall and discrimination were weak.
EATD,Text + Voice,Depression-related classification,OOF Text + Voice Logistic Regression Fusion,Official validation,0.7468354430379747,0.2222222222222222,0.1333333333333333,0.1666666666666666,0.5166666666666666,0.21520957146984,,,,Train-only OOF predictions were used for fusion; final validation discrimination remained weak.
EATD,Voice,Depression-related classification,Logistic Regression,Official validation,0.7721518987341772,0.2857142857142857,0.1333333333333333,0.1818181818181818,0.5531250000000001,0.2388168362996738,,,,Weak discrimination on the official validation split.
StudentLife,Behavior,PHQ-9 score regression,Random Forest Regression,5-fold participant-level CV,,,,,,,3.848777763184273,4.722204648512491,-0.1510257317643689,Retrospective participant-level association baseline; not true temporal early prediction.
