feature,mean_abs_shap,mean_shap,feature_group
lex_liwc_function,0.7142741582950548,-0.0006420775335803604,liwc
lex_liwc_negemo,0.5665420940625367,0.03728057914052566,liwc
lex_liwc_affect,0.5645685479296233,-0.027952552149443807,liwc
lex_liwc_auxverb,0.41890622728732524,-0.026313976322300318,liwc
lex_liwc_Clout,0.4092690739166091,-0.027637548219957862,liwc
lex_liwc_feel,0.3729127398684505,-0.02285280599004321,liwc
lex_liwc_article,0.36955366387572125,-0.055540074143483775,liwc
lex_liwc_Tone,0.35427278990944966,0.004317074126233755,liwc
lex_liwc_differ,0.3122514271373567,-0.00933473796659246,liwc
lex_liwc_percept,0.31103058711526205,-0.02824960820151687,liwc
lex_liwc_posemo,0.2889837285921075,-0.0042105044032688735,liwc
lex_liwc_prep,0.2863833345478428,-0.018925173944458088,liwc
lex_liwc_Apostro,0.26753734516523164,0.03586804823813706,liwc
lex_liwc_ipron,0.25626163826560056,-0.0037578340414159465,liwc
lex_liwc_pronoun,0.24314504456370206,0.031625680945109494,liwc
sentiment,0.22730295238276854,-0.017351787776638806,sentiment
lex_liwc_focuspresent,0.21630310290793006,0.01398039962238044,liwc
lex_dal_avg_pleasantness,0.21623079945905768,-0.003983426521208055,dal
lex_liwc_risk,0.19904262146635737,0.02101957818427616,liwc
lex_liwc_conj,0.1868629465793359,-0.009319398972017142,liwc
lex_liwc_Dic,0.17169809122524324,0.005697630370839348,liwc
lex_liwc_anx,0.1709322556132774,0.0014502468357731812,liwc
lex_liwc_swear,0.16995016372553645,-0.054358452387072,liwc
lex_liwc_shehe,0.16628984505551514,0.004188646216560119,liwc
lex_liwc_affiliation,0.16596709452843228,-0.005646868258783385,liwc
lex_liwc_hear,0.16144180550243425,-0.0029502428996634605,liwc
lex_liwc_focuspast,0.1523978928437198,0.006540543336233041,liwc
lex_liwc_adverb,0.1508239650282842,-0.0018322089475055726,liwc
lex_dal_min_pleasantness,0.14990866787593515,-0.008549777545369092,dal
lex_liwc_WPS,0.14585097370894848,-0.02213091831501555,liwc
