experiment,records,brier_score,log_loss,mean_absolute_calibration_error
text_only,715,0.18473717139330523,0.5513224778540258,0.11392392922754362
text_plus_social,715,0.18177928209816688,0.5438297975926029,0.10149030198782812
text_plus_all_engineered,715,0.16333952573435384,0.4879293080097089,0.03312090703619973
