experiment,engineered_features,total_features,accuracy,f1,roc_auc,pr_auc
text_only,0,24979,0.7525773195876289,0.774294670846395,0.8432411965164711,0.846248240810906
text_plus_liwc,93,25072,0.761168384879725,0.7725040916530278,0.849760980689133,0.8492270291249131
text_plus_dal,9,24988,0.738831615120275,0.7617554858934169,0.8230428814842862,0.8293867600989097
text_plus_social,4,24983,0.7783505154639175,0.7993779160186625,0.8546123627413857,0.852832302993195
text_plus_syntax_readability,2,24981,0.7542955326460481,0.7755102040816326,0.8325799886406664,0.8337020255962744
text_plus_sentiment,1,24980,0.7371134020618557,0.7536231884057971,0.8048561151079137,0.8055945429808089
text_plus_all_engineered,109,25088,0.7766323024054983,0.7896440129449838,0.850328947368421,0.8478365031157757
