model,accuracy,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp
Logistic Regression,0.7721518987341772,0.2857142857142857,0.13333333333333333,0.18181818181818182,0.5531250000000001,0.23881683629967382,59,5,13,2
Random Forest,0.7848101265822784,0.0,0.0,0.0,0.4239583333333334,0.20962890259914307,62,2,15,0
