feature_group,feature_count,mean_abs_shap,total_abs_shap
liwc,93,0.12512993211840417,11.63708368701159
dal,9,0.0791302976166853,0.7121726785501677
sentiment,1,0.22730295238276854,0.22730295238276854
social,4,0.02143282456424979,0.08573129825699916
syntax_readability,2,0.02043353437610969,0.04086706875221938
